id,color,flex,length,tensity,N
1223,3,32,63,178,11
1224,3,35,60,189,10
1225,3,36,60,191,10
1226,3,38,61,204,11
1227,3,35,66,189,11
1228,4,35,64,215,12
1229,3,45,61,236,12
1230,3,32,61,201,11
1231,3,31,65,202,11
1232,3,37,60,214,11
1233,4,40,63,215,12
1234,3,36,61,214,11
1235,4,40,64,226,12
1236,2,30,60,184,10
1237,3,36,62,208,11
1238,3,32,61,200,11
1239,3,33,64,201,11
1240,3,44,61,197,11
1241,4,39,63,226,12
1242,3,37,62,209,11
1243,2,32,61,197,10
1244,4,39,63,216,12
1245,2,33,60,187,10
1246,2,40,57,180,10
1247,3,34,61,185,11
1248,4,42,64,227,12
1249,2,35,59,187,10
1250,3,39,57,211,11
1251,3,37,61,216,11
1252,3,37,61,205,11
1253,3,39,62,210,11
1254,4,44,64,234,12
1255,3,37,62,208,11
1256,3,41,62,206,11
1257,4,45,62,193,12
1258,3,36,65,206,11
1259,2,30,59,197,10
1260,3,36,62,193,11
1261,3,38,65,191,11
1262,4,35,64,217,12
1263,4,37,63,203,12
1264,3,34,62,196,11
1265,3,41,61,211,11
1266,4,43,63,218,12
1267,3,38,60,191,11
1268,3,29,58,189,10
1269,3,41,66,208,12
1270,3,37,63,192,11
1271,3,30,62,210,11
1272,4,37,63,214,12
1273,3,33,64,201,11
1274,4,33,68,206,12
1275,3,33,61,190,11
1276,3,36,62,196,11
1277,3,28,60,185,10
1278,3,33,61,195,11
1279,4,39,65,228,12
1280,3,31,63,197,11
1281,3,38,63,192,11
1282,3,40,65,238,12
1283,4,42,65,207,12
1284,3,37,61,170,11
1285,4,39,64,216,12
1286,4,26,61,211,11
1287,3,38,60,198,11
1288,3,35,63,213,11
1289,3,30,57,175,10
1290,3,36,60,206,11
1291,4,32,64,231,12
1292,3,38,69,206,12
1293,3,39,62,190,11
1294,4,38,64,207,12
1295,3,48,59,224,11
1296,2,39,68,197,11
1297,3,37,61,187,11
1298,2,30,59,199,10
1299,3,30,64,199,11
1300,4,35,64,222,12
1301,3,33,61,203,11
